id,cartera_secretaria,id_nomenclatura
1,"SECRETARÍA GENERAL",1
2,"SECRETARÍA DE ORGANIZACIÓN",1
3,"SECRETARÍA DE TRABAJO Y CONFLICTOS",1
4,"SECRETARÍA DE FINANZAS",1
5,"SECRETARÍA DE PREVISIÓN Y ASISTENCIA SOCIAL",1
6,"SECRETARÍA DE ESCALAFÓN Y PROMOCIÓN",1
7,"SECRETARÍA DE ORIENTACIÓN IDEOLÓGICA SINDICAL",1
8,"SECRETARÍA GENERAL",2
9,"SECRETARÍA DE ORGANIZACIÓN",2
10,"SECRETARÍA DE FINANZAS",2
11,"SECRETARÍA DE PREVISIÓN Y ASISTENCIA SOCIAL",2
12,"SECRETARÍA DE ORIENTACIÓN IDEOLÓGICA SINDICAL",2
13,"SECRETARÍA DE CULTURA Y RECREACIÓN",2
14,"SECRETARÍA DE VINCULACIÓN SOCIAL Y PROGRAMAS PRODUCTIVOS",2
15,"REPRESENTANTE SINDICAL DE CENTRO DE TRABAJO",3
